requisition_id,candidate_id,department,grade,source,applied_date,offer_date,final_stage,joined_flag,employee_id
REQ0006,CAND00033,Engineering,L3,Campus,2019-07-08,,Interviewed,No,
REQ0006,CAND00034,Engineering,L3,Recruitment Agency,2019-06-15,,Applied,No,
REQ0006,CAND00035,Engineering,L3,Employee Referral,2019-07-07,2019-07-30,Offered,No,
REQ0006,CAND00036,Engineering,L3,Campus,2019-06-29,,Applied,No,
REQ0007,CAND00037,Customer Success,L1,Campus,2024-06-24,2024-08-28,Joined,Yes,EMP0007
REQ0007,CAND00038,Customer Success,L1,Employee Referral,2024-06-20,,Applied,No,
REQ0007,CAND00039,Customer Success,L1,Careers Site,2024-06-18,,Interviewed,No,
REQ0007,CAND00040,Customer Success,L1,Naukri,2024-07-02,,Applied,No,
REQ0008,CAND00041,Operations,L3,Recruitment Agency,2020-01-25,2020-03-27,Joined,Yes,EMP0008
REQ0008,CAND00042,Operations,L3,Recruitment Agency,2020-01-22,,Applied,No,
REQ0008,CAND00043,Operations,L3,LinkedIn,2020-01-29,,Applied,No,
REQ0008,CAND00044,Operations,L3,Employee Referral,2020-01-17,,Screened,No,
REQ0008,CAND00045,Operations,L3,LinkedIn,2020-01-12,,Applied,No,
REQ0008,CAND00046,Operations,L3,Recruitment Agency,2020-01-21,,Applied,No,
REQ0008,CAND00047,Operations,L3,Campus,2020-01-29,,Applied,No,
REQ0009,CAND00048,Finance,L3,Naukri,2025-10-13,2026-01-13,Joined,Yes,EMP0009
REQ0009,CAND00049,Finance,L3,Employee Referral,2025-10-19,,Interviewed,No,
REQ0009,CAND00050,Finance,L3,LinkedIn,2025-10-25,,Screened,No,
REQ0009,CAND00051,Finance,L3,Careers Site,2025-10-23,,Screened,No,
REQ0009,CAND00052,Finance,L3,Employee Referral,2025-10-18,,Screened,No,
REQ0009,CAND00053,Finance,L3,LinkedIn,2025-10-18,,Screened,No,
REQ0009,CAND00054,Finance,L3,Recruitment Agency,2025-10-12,,Screened,No,
REQ0009,CAND00055,Finance,L3,Recruitment Agency,2025-10-27,,Applied,No,
REQ0009,CAND00056,Finance,L3,LinkedIn,2025-10-21,,Applied,No,
REQ0010,CAND00057,Engineering,L3,LinkedIn,2022-07-19,2022-09-16,Joined,Yes,EMP0010
REQ0010,CAND00058,Engineering,L3,Recruitment Agency,2022-07-29,,Screened,No,
REQ0010,CAND00059,Engineering,L3,Recruitment Agency,2022-07-19,,Applied,No,
REQ0010,CAND00060,Engineering,L3,Naukri,2022-07-28,,Screened,No,
REQ0010,CAND00061,Engineering,L3,Recruitment Agency,2022-07-31,,Applied,No,
REQ0010,CAND00062,Engineering,L3,Employee Referral,2022-07-27,2022-08-31,Offered,No,
REQ0010,CAND00063,Engineering,L3,Employee Referral,2022-07-24,2022-08-30,Offered,No,
REQ0011,CAND00064,Human Resources,L2,Naukri,2022-10-25,2023-01-17,Joined,Yes,EMP0011
REQ0011,CAND00065,Human Resources,L2,Employee Referral,2022-11-10,2022-12-25,Offered,No,
REQ0011,CAND00066,Human Resources,L2,Recruitment Agency,2022-10-15,,Screened,No,
REQ0011,CAND00067,Human Resources,L2,Naukri,2022-11-12,,Applied,No,
REQ0011,CAND00068,Human Resources,L2,LinkedIn,2022-10-21,,Applied,No,
REQ0011,CAND00069,Human Resources,L2,LinkedIn,2022-10-20,,Applied,No,
REQ0011,CAND00070,Human Resources,L2,Careers Site,2022-11-02,,Applied,No,
REQ0012,CAND00071,Marketing,L4,Campus,2020-09-12,2020-10-05,Joined,Yes,EMP0012
REQ0012,CAND00072,Marketing,L4,Employee Referral,2020-09-11,,Interviewed,No,
REQ0012,CAND00073,Marketing,L4,Recruitment Agency,2020-09-21,,Applied,No,
REQ0012,CAND00074,Marketing,L4,LinkedIn,2020-09-25,,Screened,No,
REQ0012,CAND00075,Marketing,L4,Recruitment Agency,2020-09-25,,Interviewed,No,
REQ0013,CAND00076,Human Resources,L1,Naukri,2023-04-28,2023-06-17,Joined,Yes,EMP0013
REQ0013,CAND00077,Human Resources,L1,Recruitment Agency,2023-05-09,,Applied,No,
REQ0013,CAND00078,Human Resources,L1,Campus,2023-05-10,,Applied,No,
REQ0013,CAND00079,Human Resources,L1,LinkedIn,2023-04-17,,Screened,No,
REQ0013,CAND00080,Human Resources,L1,Employee Referral,2023-05-01,,Screened,No,
REQ0013,CAND00081,Human Resources,L1,LinkedIn,2023-04-18,,Applied,No,
REQ0013,CAND00082,Human Resources,L1,Naukri,2023-05-11,,Applied,No,
REQ0013,CAND00083,Human Resources,L1,Employee Referral,2023-04-17,2023-05-11,Offered,No,
REQ0013,CAND00084,Human Resources,L1,Naukri,2023-04-16,,Applied,No,
REQ0014,CAND00085,Sales,L1,Careers Site,2022-07-22,2022-09-02,Joined,Yes,EMP0014
REQ0014,CAND00086,Sales,L1,Recruitment Agency,2022-07-08,,Applied,No,
REQ0014,CAND00087,Sales,L1,Recruitment Agency,2022-07-26,,Applied,No,
REQ0014,CAND00088,Sales,L1,Careers Site,2022-07-30,,Applied,No,
REQ0014,CAND00089,Sales,L1,Careers Site,2022-07-14,,Screened,No,
REQ0014,CAND00090,Sales,L1,Recruitment Agency,2022-08-04,,Applied,No,
REQ0014,CAND00091,Sales,L1,LinkedIn,2022-07-14,,Applied,No,
REQ0014,CAND00092,Sales,L1,Campus,2022-07-14,,Screened,No,
REQ0014,CAND00093,Sales,L1,Employee Referral,2022-08-12,2022-09-06,Offered,No,
REQ0014,CAND00094,Sales,L1,LinkedIn,2022-08-09,,Screened,No,
REQ0015,CAND00095,Engineering,L5,Employee Referral,2020-01-02,2020-03-13,Joined,Yes,EMP0015
REQ0015,CAND00096,Engineering,L5,Recruitment Agency,2019-12-30,,Applied,No,
REQ0015,CAND00097,Engineering,L5,LinkedIn,2020-01-22,,Applied,No,
REQ0015,CAND00098,Engineering,L5,Naukri,2019-12-29,,Applied,No,
REQ0015,CAND00099,Engineering,L5,Naukri,2020-01-13,,Applied,No,
REQ0016,CAND00100,Sales,L5,Employee Referral,2021-05-26,2021-06-28,Joined,Yes,EMP0016
REQ0016,CAND00101,Sales,L5,Campus,2021-06-10,,Applied,No,
REQ0016,CAND00102,Sales,L5,Naukri,2021-05-18,,Applied,No,
REQ0016,CAND00103,Sales,L5,Campus,2021-05-12,,Applied,No,
REQ0017,CAND00104,Engineering,L4,LinkedIn,2019-07-06,2019-09-24,Joined,Yes,EMP0017
REQ0017,CAND00105,Engineering,L4,LinkedIn,2019-07-06,,Applied,No,
REQ0017,CAND00106,Engineering,L4,Careers Site,2019-07-10,,Applied,No,
REQ0017,CAND00107,Engineering,L4,Naukri,2019-07-09,,Applied,No,
REQ0018,CAND00108,Customer Success,L3,Employee Referral,2025-05-11,2025-06-01,Joined,Yes,EMP0018
REQ0018,CAND00109,Customer Success,L3,LinkedIn,2025-05-30,2025-07-10,Offered,No,
REQ0018,CAND00110,Customer Success,L3,Campus,2025-05-02,,Interviewed,No,
REQ0018,CAND00111,Customer Success,L3,LinkedIn,2025-05-10,2025-06-18,Offered,No,
REQ0018,CAND00112,Customer Success,L3,Naukri,2025-05-21,,Applied,No,
REQ0018,CAND00113,Customer Success,L3,Recruitment Agency,2025-05-06,,Screened,No,
REQ0018,CAND00114,Customer Success,L3,Recruitment Agency,2025-05-30,,Applied,No,
REQ0018,CAND00115,Customer Success,L3,Naukri,2025-05-28,,Interviewed,No,
REQ0018,CAND00116,Customer Success,L3,Careers Site,2025-05-09,,Interviewed,No,
REQ0018,CAND00117,Customer Success,L3,Employee Referral,2025-05-18,,Applied,No,
REQ0019,CAND00118,Engineering,L2,Recruitment Agency,2021-07-12,2021-07-23,Joined,Yes,EMP0019
REQ0019,CAND00119,Engineering,L2,LinkedIn,2021-07-06,,Screened,No,
REQ0019,CAND00120,Engineering,L2,Recruitment Agency,2021-07-30,,Applied,No,
REQ0019,CAND00121,Engineering,L2,Careers Site,2021-08-02,,Applied,No,
REQ0019,CAND00122,Engineering,L2,Recruitment Agency,2021-07-08,,Screened,No,
REQ0019,CAND00123,Engineering,L2,Naukri,2021-07-14,,Interviewed,No,
REQ0019,CAND00124,Engineering,L2,LinkedIn,2021-07-03,,Applied,No,
REQ0019,CAND00125,Engineering,L2,Careers Site,2021-07-18,,Interviewed,No,
REQ0019,CAND00126,Engineering,L2,Employee Referral,2021-07-15,2021-08-16,Offered,No,
REQ0020,CAND00127,Sales,L4,Naukri,2022-02-26,2022-05-11,Joined,Yes,EMP0020
REQ0020,CAND00128,Sales,L4,Naukri,2022-03-04,,Applied,No,
REQ0020,CAND00129,Sales,L4,LinkedIn,2022-03-03,2022-03-24,Offered,No,
REQ0020,CAND00130,Sales,L4,Employee Referral,2022-02-14,2022-03-12,Offered,No,
REQ0020,CAND00131,Sales,L4,Naukri,2022-02-18,,Applied,No,
REQ0020,CAND00132,Sales,L4,Naukri,2022-02-18,,Applied,No,
REQ0020,CAND00133,Sales,L4,Employee Referral,2022-03-15,2022-04-04,Offered,No,
REQ0020,CAND00134,Sales,L4,Recruitment Agency,2022-02-26,,Applied,No,
REQ0020,CAND00135,Sales,L4,Employee Referral,2022-03-15,,Screened,No,
REQ0021,CAND00136,Sales,L1,LinkedIn,2025-09-10,2025-10-14,Joined,Yes,EMP0021
REQ0021,CAND00137,Sales,L1,Employee Referral,2025-09-07,2025-10-05,Offered,No,
REQ0021,CAND00138,Sales,L1,Careers Site,2025-08-29,,Applied,No,
REQ0021,CAND00139,Sales,L1,Employee Referral,2025-09-14,,Screened,No,
REQ0021,CAND00140,Sales,L1,LinkedIn,2025-09-20,,Interviewed,No,
REQ0021,CAND00141,Sales,L1,Recruitment Agency,2025-08-29,,Applied,No,
REQ0022,CAND00142,Engineering,L3,Recruitment Agency,2020-06-01,2020-08-06,Joined,Yes,EMP0022
REQ0022,CAND00143,Engineering,L3,Recruitment Agency,2020-06-09,,Applied,No,
REQ0022,CAND00144,Engineering,L3,Employee Referral,2020-06-16,2020-07-10,Offered,No,
REQ0022,CAND00145,Engineering,L3,Employee Referral,2020-05-23,2020-06-24,Offered,No,
REQ0022,CAND00146,Engineering,L3,Recruitment Agency,2020-05-26,,Screened,No,
REQ0022,CAND00147,Engineering,L3,Naukri,2020-06-08,,Applied,No,
REQ0022,CAND00148,Engineering,L3,Campus,2020-05-27,,Applied,No,
REQ0023,CAND00149,Engineering,L1,Campus,2022-09-09,2022-10-05,Joined,Yes,EMP0023
REQ0023,CAND00150,Engineering,L1,Campus,2022-09-13,,Screened,No,
REQ0023,CAND00151,Engineering,L1,LinkedIn,2022-09-04,,Applied,No,
REQ0023,CAND00152,Engineering,L1,Employee Referral,2022-09-30,2022-11-12,Offered,No,
REQ0023,CAND00153,Engineering,L1,Naukri,2022-08-31,,Applied,No,
REQ0023,CAND00154,Engineering,L1,Employee Referral,2022-09-20,2022-10-20,Offered,No,
REQ0023,CAND00155,Engineering,L1,Naukri,2022-09-25,,Applied,No,
REQ0023,CAND00156,Engineering,L1,Employee Referral,2022-09-02,2022-09-24,Offered,No,
REQ0023,CAND00157,Engineering,L1,Employee Referral,2022-09-02,2022-10-03,Offered,No,
REQ0024,CAND00158,Engineering,L1,Naukri,2023-10-08,2023-10-10,Joined,Yes,EMP0024
REQ0024,CAND00159,Engineering,L1,Employee Referral,2023-10-01,2023-11-02,Offered,No,
REQ0024,CAND00160,Engineering,L1,Naukri,2023-10-08,,Applied,No,
REQ0024,CAND00161,Engineering,L1,Campus,2023-10-21,,Applied,No,
REQ0024,CAND00162,Engineering,L1,Recruitment Agency,2023-10-29,,Screened,No,
REQ0025,CAND00163,Sales,L4,Employee Referral,2023-05-24,2023-08-13,Joined,Yes,EMP0025
REQ0025,CAND00164,Sales,L4,LinkedIn,2023-05-16,,Applied,No,
REQ0025,CAND00165,Sales,L4,LinkedIn,2023-05-23,,Screened,No,
REQ0025,CAND00166,Sales,L4,LinkedIn,2023-06-08,,Screened,No,
REQ0025,CAND00167,Sales,L4,Careers Site,2023-05-16,,Applied,No,
REQ0025,CAND00168,Sales,L4,Employee Referral,2023-05-19,2023-06-28,Offered,No,
REQ0026,CAND00169,Sales,L1,Careers Site,2022-10-16,2023-01-03,Joined,Yes,EMP0026
REQ0026,CAND00170,Sales,L1,Employee Referral,2022-10-25,,Interviewed,No,
REQ0026,CAND00171,Sales,L1,LinkedIn,2022-10-16,2022-11-28,Offered,No,
REQ0026,CAND00172,Sales,L1,Recruitment Agency,2022-10-21,,Screened,No,
REQ0026,CAND00173,Sales,L1,Campus,2022-10-28,,Applied,No,
REQ0026,CAND00174,Sales,L1,LinkedIn,2022-10-07,2022-11-01,Offered,No,
REQ0026,CAND00175,Sales,L1,Campus,2022-10-25,,Applied,No,
REQ0026,CAND00176,Sales,L1,Naukri,2022-10-18,,Applied,No,
REQ0026,CAND00177,Sales,L1,Recruitment Agency,2022-10-24,,Applied,No,
REQ0026,CAND00178,Sales,L1,Campus,2022-10-05,,Screened,No,
REQ0027,CAND00179,Customer Success,L1,Campus,2025-06-15,2025-08-11,Joined,Yes,EMP0027
REQ0027,CAND00180,Customer Success,L1,Recruitment Agency,2025-06-20,,Applied,No,
REQ0027,CAND00181,Customer Success,L1,Careers Site,2025-06-24,,Screened,No,
REQ0027,CAND00182,Customer Success,L1,Employee Referral,2025-06-28,,Interviewed,No,
REQ0027,CAND00183,Customer Success,L1,LinkedIn,2025-06-03,,Applied,No,
REQ0027,CAND00184,Customer Success,L1,Careers Site,2025-06-21,,Interviewed,No,
REQ0027,CAND00185,Customer Success,L1,LinkedIn,2025-06-06,,Screened,No,
REQ0027,CAND00186,Customer Success,L1,LinkedIn,2025-07-06,,Applied,No,
REQ0027,CAND00187,Customer Success,L1,Employee Referral,2025-06-16,,Screened,No,
REQ0027,CAND00188,Customer Success,L1,Recruitment Agency,2025-06-14,,Applied,No,
REQ0028,CAND00189,Customer Success,L3,Employee Referral,2025-01-08,2025-03-05,Joined,Yes,EMP0028
REQ0028,CAND00190,Customer Success,L3,Recruitment Agency,2024-12-25,,Applied,No,
REQ0028,CAND00191,Customer Success,L3,Careers Site,2025-01-14,,Screened,No,
REQ0028,CAND00192,Customer Success,L3,Naukri,2025-01-03,,Screened,No,
REQ0028,CAND00193,Customer Success,L3,Employee Referral,2024-12-29,2025-01-25,Offered,No,
REQ0028,CAND00194,Customer Success,L3,Employee Referral,2025-01-26,2025-02-27,Offered,No,
REQ0028,CAND00195,Customer Success,L3,Careers Site,2025-01-01,,Screened,No,
REQ0029,CAND00196,Engineering,L2,Campus,2024-05-16,2024-07-29,Joined,Yes,EMP0029
REQ0029,CAND00197,Engineering,L2,Recruitment Agency,2024-05-02,,Applied,No,
REQ0029,CAND00198,Engineering,L2,Employee Referral,2024-05-20,,Interviewed,No,
REQ0029,CAND00199,Engineering,L2,Careers Site,2024-06-04,,Applied,No,
REQ0029,CAND00200,Engineering,L2,Campus,2024-05-30,,Screened,No,
REQ0029,CAND00201,Engineering,L2,LinkedIn,2024-06-06,,Interviewed,No,
REQ0029,CAND00202,Engineering,L2,Campus,2024-05-10,,Applied,No,
REQ0029,CAND00203,Engineering,L2,Naukri,2024-05-11,,Screened,No,
REQ0029,CAND00204,Engineering,L2,Employee Referral,2024-05-02,2024-06-14,Offered,No,
REQ0030,CAND00205,Sales,L5,LinkedIn,2020-12-17,2021-02-18,Joined,Yes,EMP0030
REQ0030,CAND00206,Sales,L5,Careers Site,2020-12-29,,Screened,No,
REQ0030,CAND00207,Sales,L5,Employee Referral,2020-12-07,,Interviewed,No,
REQ0030,CAND00208,Sales,L5,Employee Referral,2020-12-05,,Screened,No,
REQ0030,CAND00209,Sales,L5,Recruitment Agency,2020-12-14,,Interviewed,No,
REQ0030,CAND00210,Sales,L5,Naukri,2020-12-05,,Interviewed,No,
REQ0031,CAND00211,Customer Success,L3,Recruitment Agency,2019-01-26,2019-03-01,Joined,Yes,EMP0031
REQ0031,CAND00212,Customer Success,L3,Recruitment Agency,2019-01-18,,Screened,No,
REQ0031,CAND00213,Customer Success,L3,Campus,2019-02-05,,Screened,No,
REQ0031,CAND00214,Customer Success,L3,Campus,2019-02-01,,Interviewed,No,
REQ0031,CAND00215,Customer Success,L3,Employee Referral,2019-02-13,,Interviewed,No,
REQ0031,CAND00216,Customer Success,L3,Employee Referral,2019-01-31,,Screened,No,
REQ0031,CAND00217,Customer Success,L3,Careers Site,2019-02-01,2019-03-13,Offered,No,
REQ0031,CAND00218,Customer Success,L3,LinkedIn,2019-01-24,,Applied,No,
REQ0031,CAND00219,Customer Success,L3,Recruitment Agency,2019-01-20,,Applied,No,
REQ0031,CAND00220,Customer Success,L3,Employee Referral,2019-02-01,,Applied,No,
REQ0032,CAND00221,Human Resources,L2,Naukri,2020-07-23,2020-09-07,Joined,Yes,EMP0032
REQ0032,CAND00222,Human Resources,L2,LinkedIn,2020-07-17,,Applied,No,
REQ0032,CAND00223,Human Resources,L2,Careers Site,2020-08-06,,Applied,No,
REQ0032,CAND00224,Human Resources,L2,Naukri,2020-08-11,,Screened,No,
REQ0032,CAND00225,Human Resources,L2,Employee Referral,2020-08-01,,Screened,No,
REQ0032,CAND00226,Human Resources,L2,Recruitment Agency,2020-07-22,,Applied,No,
REQ0032,CAND00227,Human Resources,L2,Recruitment Agency,2020-08-05,,Interviewed,No,
REQ0032,CAND00228,Human Resources,L2,Employee Referral,2020-08-08,,Screened,No,
REQ0032,CAND00229,Human Resources,L2,Campus,2020-08-10,,Interviewed,No,
REQ0032,CAND00230,Human Resources,L2,LinkedIn,2020-07-29,,Interviewed,No,
REQ0033,CAND00231,Engineering,L1,Employee Referral,2021-01-23,2021-03-04,Joined,Yes,EMP0033
REQ0033,CAND00232,Engineering,L1,Employee Referral,2021-01-17,,Interviewed,No,
REQ0033,CAND00233,Engineering,L1,LinkedIn,2021-01-14,,Screened,No,
REQ0033,CAND00234,Engineering,L1,LinkedIn,2021-02-06,,Interviewed,No,
REQ0033,CAND00235,Engineering,L1,Naukri,2021-01-14,,Applied,No,
REQ0033,CAND00236,Engineering,L1,Employee Referral,2021-02-11,2021-03-20,Offered,No,
REQ0033,CAND00237,Engineering,L1,Naukri,2021-01-23,,Screened,No,
REQ0033,CAND00238,Engineering,L1,Careers Site,2021-01-11,,Interviewed,No,
REQ0033,CAND00239,Engineering,L1,Campus,2021-02-10,,Applied,No,
REQ0034,CAND00240,Sales,L1,Careers Site,2022-02-21,2022-04-27,Joined,Yes,EMP0034
REQ0034,CAND00241,Sales,L1,Recruitment Agency,2022-02-23,,Applied,No,
REQ0034,CAND00242,Sales,L1,Employee Referral,2022-03-03,,Screened,No,
REQ0034,CAND00243,Sales,L1,LinkedIn,2022-02-20,,Screened,No,
REQ0034,CAND00244,Sales,L1,Employee Referral,2022-02-26,,Screened,No,
REQ0034,CAND00245,Sales,L1,Naukri,2022-02-24,,Applied,No,
REQ0034,CAND00246,Sales,L1,Naukri,2022-03-13,,Applied,No,
REQ0034,CAND00247,Sales,L1,Careers Site,2022-02-08,,Applied,No,
REQ0034,CAND00248,Sales,L1,Employee Referral,2022-02-23,,Screened,No,
REQ0034,CAND00249,Sales,L1,Naukri,2022-02-26,,Applied,No,
REQ0035,CAND00250,Marketing,L3,Naukri,2023-05-29,2023-06-24,Joined,Yes,EMP0035
REQ0035,CAND00251,Marketing,L3,Naukri,2023-05-17,,Applied,No,
REQ0035,CAND00252,Marketing,L3,Employee Referral,2023-06-09,,Screened,No,
REQ0035,CAND00253,Marketing,L3,LinkedIn,2023-05-27,,Screened,No,
REQ0035,CAND00254,Marketing,L3,Recruitment Agency,2023-05-15,,Applied,No,
REQ0035,CAND00255,Marketing,L3,Recruitment Agency,2023-06-12,,Screened,No,
REQ0035,CAND00256,Marketing,L3,Careers Site,2023-05-17,2023-06-07,Offered,No,
REQ0035,CAND00257,Marketing,L3,Employee Referral,2023-06-01,,Screened,No,
REQ0035,CAND00258,Marketing,L3,Employee Referral,2023-06-14,,Screened,No,
REQ0036,CAND00259,Sales,L3,Recruitment Agency,2026-01-11,2026-02-09,Joined,Yes,EMP0036
REQ0036,CAND00260,Sales,L3,Careers Site,2026-01-30,,Screened,No,
REQ0036,CAND00261,Sales,L3,LinkedIn,2026-01-31,,Interviewed,No,
REQ0036,CAND00262,Sales,L3,Employee Referral,2026-01-11,2026-02-03,Offered,No,
REQ0036,CAND00263,Sales,L3,LinkedIn,2026-01-29,,Interviewed,No,
REQ0036,CAND00264,Sales,L3,LinkedIn,2026-01-16,,Applied,No,
REQ0036,CAND00265,Sales,L3,Naukri,2026-01-26,,Screened,No,
REQ0036,CAND00266,Sales,L3,Recruitment Agency,2026-01-14,,Applied,No,
REQ0037,CAND00267,Operations,L6,Employee Referral,2025-08-30,2025-11-15,Joined,Yes,EMP0037
REQ0037,CAND00268,Operations,L6,LinkedIn,2025-09-12,,Applied,No,
REQ0037,CAND00269,Operations,L6,LinkedIn,2025-08-18,,Screened,No,
REQ0037,CAND00270,Operations,L6,LinkedIn,2025-09-16,,Interviewed,No,
REQ0038,CAND00271,Customer Success,L3,LinkedIn,2025-04-03,2025-04-17,Joined,Yes,EMP0038
REQ0038,CAND00272,Customer Success,L3,Naukri,2025-04-20,,Interviewed,No,
REQ0038,CAND00273,Customer Success,L3,LinkedIn,2025-04-03,,Applied,No,
REQ0038,CAND00274,Customer Success,L3,Naukri,2025-03-24,,Applied,No,
REQ0039,CAND00275,Sales,L4,Careers Site,2026-02-17,2026-04-30,Joined,Yes,EMP0039
REQ0039,CAND00276,Sales,L4,LinkedIn,2026-02-25,,Interviewed,No,
REQ0039,CAND00277,Sales,L4,Employee Referral,2026-02-11,2026-03-15,Offered,No,
REQ0039,CAND00278,Sales,L4,LinkedIn,2026-02-13,2026-03-24,Offered,No,
REQ0039,CAND00279,Sales,L4,Naukri,2026-02-16,,Interviewed,No,
REQ0040,CAND00280,Marketing,L4,Employee Referral,2021-10-06,2021-11-25,Joined,Yes,EMP0040
REQ0040,CAND00281,Marketing,L4,Naukri,2021-10-20,,Applied,No,
REQ0040,CAND00282,Marketing,L4,LinkedIn,2021-09-29,,Screened,No,
REQ0040,CAND00283,Marketing,L4,Employee Referral,2021-10-07,2021-11-17,Offered,No,
REQ0040,CAND00284,Marketing,L4,Campus,2021-10-22,,Applied,No,
REQ0040,CAND00285,Marketing,L4,Recruitment Agency,2021-10-12,,Applied,No,
REQ0040,CAND00286,Marketing,L4,Careers Site,2021-10-02,,Applied,No,
REQ0040,CAND00287,Marketing,L4,Campus,2021-10-17,,Applied,No,
REQ0040,CAND00288,Marketing,L4,Campus,2021-09-23,,Screened,No,
REQ0040,CAND00289,Marketing,L4,Employee Referral,2021-10-06,,Interviewed,No,
REQ0041,CAND00290,Marketing,L3,Recruitment Agency,2026-05-03,2026-06-14,Joined,Yes,EMP0041
REQ0041,CAND00291,Marketing,L3,Recruitment Agency,2026-05-07,,Applied,No,
REQ0041,CAND00292,Marketing,L3,Recruitment Agency,2026-05-09,,Applied,No,
REQ0041,CAND00293,Marketing,L3,Employee Referral,2026-05-02,2026-05-24,Offered,No,
REQ0042,CAND00294,Operations,L1,LinkedIn,2024-04-13,2024-07-01,Joined,Yes,EMP0042
REQ0042,CAND00295,Operations,L1,Employee Referral,2024-04-28,,Interviewed,No,
REQ0042,CAND00296,Operations,L1,Recruitment Agency,2024-04-26,,Screened,No,
REQ0042,CAND00297,Operations,L1,LinkedIn,2024-04-12,,Interviewed,No,
REQ0042,CAND00298,Operations,L1,LinkedIn,2024-04-01,2024-05-08,Offered,No,
REQ0043,CAND00299,Product,L2,LinkedIn,2023-06-03,2023-06-24,Joined,Yes,EMP0043
REQ0043,CAND00300,Product,L2,Naukri,2023-06-05,,Applied,No,
REQ0043,CAND00301,Product,L2,LinkedIn,2023-06-21,,Applied,No,
REQ0043,CAND00302,Product,L2,Recruitment Agency,2023-05-21,,Screened,No,
REQ0043,CAND00303,Product,L2,Employee Referral,2023-05-21,,Screened,No,
REQ0043,CAND00304,Product,L2,Campus,2023-06-06,,Applied,No,
REQ0043,CAND00305,Product,L2,Employee Referral,2023-06-08,2023-07-07,Offered,No,
REQ0044,CAND00306,Operations,L2,Naukri,2025-01-14,2025-03-14,Joined,Yes,EMP0044
REQ0044,CAND00307,Operations,L2,Recruitment Agency,2025-01-27,,Interviewed,No,
REQ0044,CAND00308,Operations,L2,Employee Referral,2025-01-07,2025-02-20,Offered,No,
REQ0044,CAND00309,Operations,L2,Campus,2025-01-23,,Applied,No,
REQ0044,CAND00310,Operations,L2,Careers Site,2025-02-01,2025-03-11,Offered,No,
REQ0045,CAND00311,Engineering,L5,Recruitment Agency,2022-09-23,2022-11-22,Joined,Yes,EMP0045
REQ0045,CAND00312,Engineering,L5,Campus,2022-09-16,,Applied,No,
REQ0045,CAND00313,Engineering,L5,LinkedIn,2022-10-11,,Interviewed,No,
