employee_id,month,working_days,days_present,days_absent,leave_type
EMP0089,2025-03,20,19,1,Earned
EMP0092,2025-03,20,17,3,Earned
EMP0093,2025-03,20,18,2,None
EMP0094,2025-03,20,18,2,Casual
EMP0097,2025-03,20,19,1,Earned
EMP0099,2025-03,20,20,0,None
EMP0100,2025-03,20,19,1,Casual
EMP0102,2025-03,20,20,0,None
EMP0104,2025-03,20,19,1,None
EMP0105,2025-03,20,20,0,None
EMP0106,2025-03,20,20,0,None
EMP0107,2025-03,20,16,4,Unpaid
EMP0109,2025-03,20,19,1,Unpaid
EMP0112,2025-03,20,17,3,None
EMP0115,2025-03,20,20,0,None
EMP0116,2025-03,20,17,3,Earned
EMP0117,2025-03,20,19,1,Sick
EMP0118,2025-03,20,17,3,Casual
EMP0119,2025-03,20,16,4,Sick
EMP0120,2025-03,20,20,0,None
EMP0121,2025-03,20,20,0,None
EMP0122,2025-03,20,19,1,Casual
EMP0123,2025-03,20,18,2,Earned
EMP0124,2025-03,20,19,1,Sick
EMP0126,2025-03,20,19,1,Unpaid
EMP0127,2025-03,20,20,0,None
EMP0130,2025-03,20,18,2,Unpaid
EMP0131,2025-03,20,19,1,Earned
EMP0132,2025-03,20,18,2,Earned
EMP0133,2025-03,20,19,1,Sick
EMP0134,2025-03,20,18,2,Earned
EMP0135,2025-03,20,20,0,None
EMP0137,2025-03,20,16,4,Sick
EMP0138,2025-03,20,19,1,Unpaid
EMP0139,2025-03,20,20,0,None
EMP0140,2025-03,20,20,0,None
EMP0141,2025-03,20,20,0,None
EMP0142,2025-03,20,19,1,None
EMP0148,2025-03,20,17,3,None
EMP0150,2025-03,20,19,1,Casual
EMP0151,2025-03,20,20,0,None
EMP0152,2025-03,20,19,1,None
EMP0153,2025-03,20,18,2,None
EMP0154,2025-03,20,20,0,None
EMP0155,2025-03,20,18,2,None
EMP0156,2025-03,20,18,2,Casual
EMP0158,2025-03,20,17,3,Sick
EMP0159,2025-03,20,20,0,None
EMP0162,2025-03,20,19,1,Sick
EMP0165,2025-03,20,20,0,None
EMP0166,2025-03,20,18,2,Casual
EMP0167,2025-03,20,15,5,Earned
EMP0170,2025-03,20,16,4,Casual
EMP0171,2025-03,20,17,3,None
EMP0174,2025-03,20,18,2,Unpaid
EMP0175,2025-03,20,19,1,Casual
EMP0176,2025-03,20,19,1,Unpaid
EMP0177,2025-03,20,18,2,Unpaid
EMP0179,2025-03,20,20,0,None
EMP0181,2025-03,20,19,1,Unpaid
EMP0182,2025-03,20,20,0,None
EMP0183,2025-03,20,20,0,None
EMP0185,2025-03,20,19,1,Earned
EMP0189,2025-03,20,17,3,None
EMP0191,2025-03,20,18,2,None
EMP0192,2025-03,20,16,4,Sick
EMP0193,2025-03,20,20,0,None
EMP0194,2025-03,20,17,3,Casual
EMP0195,2025-03,20,18,2,None
EMP0196,2025-03,20,19,1,Unpaid
EMP0198,2025-03,20,20,0,None
EMP0200,2025-03,20,18,2,Earned
EMP0201,2025-03,20,20,0,None
EMP0202,2025-03,20,20,0,None
EMP0203,2025-03,20,19,1,Unpaid
EMP0206,2025-03,20,16,4,None
EMP0208,2025-03,20,20,0,None
EMP0209,2025-03,20,16,4,None
EMP0210,2025-03,20,18,2,Earned
EMP0211,2025-03,20,16,4,Casual
EMP0212,2025-03,20,20,0,None
EMP0213,2025-03,20,17,3,Unpaid
EMP0214,2025-03,20,18,2,Unpaid
EMP0215,2025-03,20,18,2,Casual
EMP0218,2025-03,20,17,3,Sick
EMP0220,2025-03,20,19,1,Sick
EMP0221,2025-03,20,19,1,None
EMP0222,2025-03,20,19,1,Sick
EMP0223,2025-03,20,17,3,Unpaid
EMP0224,2025-03,20,19,1,Earned
EMP0229,2025-03,20,20,0,None
EMP0231,2025-03,20,20,0,None
EMP0232,2025-03,20,17,3,Sick
EMP0234,2025-03,20,19,1,Sick
EMP0236,2025-03,20,19,1,Sick
EMP0238,2025-03,20,20,0,None
EMP0239,2025-03,20,19,1,Casual
EMP0242,2025-03,20,18,2,None
EMP0244,2025-03,20,16,4,Casual
EMP0245,2025-03,20,17,3,None
EMP0246,2025-03,20,18,2,Earned
EMP0248,2025-03,20,19,1,Sick
EMP0249,2025-03,20,19,1,Unpaid
EMP0250,2025-03,20,17,3,Unpaid
EMP0253,2025-03,20,20,0,None
EMP0255,2025-03,20,20,0,None
EMP0257,2025-03,20,19,1,Sick
EMP0258,2025-03,20,17,3,Casual
EMP0263,2025-03,20,19,1,Earned
EMP0265,2025-03,20,19,1,Unpaid
EMP0266,2025-03,20,19,1,Earned
EMP0267,2025-03,20,18,2,Casual
EMP0268,2025-03,20,18,2,Earned
EMP0269,2025-03,20,20,0,None
EMP0270,2025-03,20,18,2,Casual
EMP0272,2025-03,20,18,2,None
EMP0279,2025-03,20,18,2,Earned
EMP0280,2025-03,20,19,1,None
EMP0283,2025-03,20,18,2,None
EMP0284,2025-03,20,18,2,Earned
EMP0290,2025-03,20,20,0,None
EMP0291,2025-03,20,17,3,Unpaid
EMP0293,2025-03,20,19,1,Unpaid
EMP0294,2025-03,20,16,4,Casual
EMP0295,2025-03,20,20,0,None
EMP0296,2025-03,20,18,2,Sick
EMP0297,2025-03,20,17,3,Unpaid
EMP0298,2025-03,20,18,2,Unpaid
EMP0299,2025-03,20,17,3,Sick
EMP0302,2025-03,20,18,2,Casual
EMP0303,2025-03,20,19,1,None
EMP0304,2025-03,20,14,6,None
EMP0306,2025-03,20,17,3,Sick
EMP0311,2025-03,20,20,0,None
EMP0314,2025-03,20,17,3,Casual
EMP0315,2025-03,20,18,2,Sick
EMP0318,2025-03,20,20,0,None
EMP0320,2025-03,20,20,0,None
EMP0323,2025-03,20,16,4,Casual
EMP0327,2025-03,20,18,2,Sick
EMP0330,2025-03,20,17,3,None
EMP0331,2025-03,20,19,1,Casual
EMP0332,2025-03,20,19,1,Casual
EMP0333,2025-03,20,19,1,Casual
EMP0337,2025-03,20,17,3,Casual
EMP0338,2025-03,20,17,3,Casual
EMP0339,2025-03,20,19,1,Unpaid
EMP0340,2025-03,20,20,0,None
EMP0341,2025-03,20,13,7,Unpaid
EMP0343,2025-03,20,20,0,None
EMP0344,2025-03,20,19,1,Earned
EMP0346,2025-03,20,20,0,None
EMP0347,2025-03,20,17,3,Casual
EMP0349,2025-03,20,17,3,Sick
EMP0351,2025-03,20,20,0,None
EMP0352,2025-03,20,19,1,Casual
EMP0354,2025-03,20,19,1,Unpaid
EMP0356,2025-03,20,18,2,Earned
EMP0357,2025-03,20,19,1,Casual
EMP0358,2025-03,20,20,0,None
EMP0359,2025-03,20,18,2,Unpaid
EMP0360,2025-03,20,17,3,Earned
EMP0361,2025-03,20,19,1,Casual
EMP0362,2025-03,20,20,0,None
EMP0363,2025-03,20,20,0,None
EMP0364,2025-03,20,18,2,Unpaid
EMP0365,2025-03,20,18,2,Unpaid
EMP0367,2025-03,20,17,3,Sick
EMP0370,2025-03,20,18,2,Earned
EMP0371,2025-03,20,20,0,None
EMP0372,2025-03,20,17,3,Unpaid
EMP0377,2025-03,20,19,1,Earned
EMP0379,2025-03,20,20,0,None
EMP0381,2025-03,20,20,0,None
EMP0383,2025-03,20,18,2,Earned
EMP0386,2025-03,20,16,4,Sick
EMP0387,2025-03,20,19,1,Unpaid
EMP0388,2025-03,20,18,2,Casual
EMP0390,2025-03,20,20,0,None
EMP0391,2025-03,20,16,4,Sick
EMP0392,2025-03,20,18,2,Unpaid
EMP0394,2025-03,20,19,1,Casual
EMP0395,2025-03,20,20,0,None
EMP0396,2025-03,20,18,2,None
EMP0397,2025-03,20,19,1,Casual
EMP0398,2025-03,20,17,3,Unpaid
EMP0400,2025-03,20,19,1,Sick
EMP0401,2025-03,20,20,0,None
EMP0402,2025-03,20,18,2,Unpaid
EMP0403,2025-03,20,18,2,None
EMP0404,2025-03,20,19,1,Unpaid
EMP0405,2025-03,20,19,1,None
EMP0407,2025-03,20,18,2,None
EMP0408,2025-03,20,19,1,None
EMP0411,2025-03,20,19,1,Sick
EMP0412,2025-03,20,19,1,Unpaid
EMP0415,2025-03,20,17,3,Earned
EMP0416,2025-03,20,18,2,Earned
EMP0417,2025-03,20,18,2,Earned
EMP0418,2025-03,20,20,0,None
EMP0419,2025-03,20,18,2,Earned
EMP0002,2025-04,20,16,4,Unpaid
EMP0003,2025-04,20,20,0,None
EMP0006,2025-04,20,19,1,Sick
EMP0007,2025-04,20,17,3,Earned
EMP0010,2025-04,20,19,1,Earned
EMP0011,2025-04,20,17,3,Sick
EMP0013,2025-04,20,18,2,None
EMP0014,2025-04,20,20,0,None
EMP0015,2025-04,20,19,1,Casual
EMP0019,2025-04,20,18,2,Unpaid
EMP0020,2025-04,20,19,1,Earned
EMP0023,2025-04,20,17,3,Casual
EMP0024,2025-04,20,18,2,Casual
EMP0025,2025-04,20,18,2,Sick
EMP0026,2025-04,20,20,0,None
EMP0028,2025-04,20,18,2,None
EMP0029,2025-04,20,17,3,Earned
EMP0030,2025-04,20,18,2,Unpaid
EMP0031,2025-04,20,18,2,Unpaid
EMP0032,2025-04,20,16,4,Earned
EMP0035,2025-04,20,19,1,Unpaid
EMP0043,2025-04,20,19,1,Earned
EMP0044,2025-04,20,18,2,None
EMP0045,2025-04,20,19,1,None
EMP0046,2025-04,20,16,4,None
EMP0047,2025-04,20,16,4,Earned
EMP0048,2025-04,20,17,3,Earned
EMP0050,2025-04,20,19,1,Unpaid
EMP0052,2025-04,20,19,1,Earned
EMP0055,2025-04,20,19,1,Unpaid
EMP0056,2025-04,20,18,2,None
EMP0057,2025-04,20,19,1,None
EMP0062,2025-04,20,17,3,Earned
EMP0063,2025-04,20,18,2,Unpaid
EMP0064,2025-04,20,19,1,Unpaid
EMP0065,2025-04,20,20,0,None
EMP0066,2025-04,20,19,1,Sick
EMP0071,2025-04,20,17,3,Earned
EMP0074,2025-04,20,16,4,None
EMP0076,2025-04,20,19,1,Earned
EMP0077,2025-04,20,19,1,Sick
EMP0079,2025-04,20,18,2,None
EMP0081,2025-04,20,18,2,Earned
EMP0082,2025-04,20,18,2,Unpaid
EMP0083,2025-04,20,17,3,None
EMP0084,2025-04,20,17,3,Casual
EMP0085,2025-04,20,18,2,Sick
EMP0086,2025-04,20,16,4,Unpaid
EMP0087,2025-04,20,20,0,None
EMP0089,2025-04,20,19,1,None
EMP0092,2025-04,20,20,0,None
EMP0093,2025-04,20,18,2,Unpaid
EMP0094,2025-04,20,17,3,None
EMP0097,2025-04,20,19,1,None
EMP0098,2025-04,20,20,0,None
EMP0099,2025-04,20,18,2,Unpaid
EMP0100,2025-04,20,20,0,None
EMP0102,2025-04,20,18,2,Unpaid
EMP0104,2025-04,20,18,2,Sick
EMP0105,2025-04,20,20,0,None
EMP0106,2025-04,20,17,3,Casual
EMP0107,2025-04,20,16,4,None
EMP0109,2025-04,20,19,1,None
EMP0112,2025-04,20,17,3,Earned
EMP0115,2025-04,20,19,1,Casual
EMP0116,2025-04,20,20,0,None
EMP0117,2025-04,20,19,1,Sick
EMP0118,2025-04,20,18,2,Earned
EMP0119,2025-04,20,16,4,Earned
EMP0120,2025-04,20,19,1,None
EMP0121,2025-04,20,20,0,None
EMP0122,2025-04,20,19,1,Sick
EMP0123,2025-04,20,18,2,None
EMP0124,2025-04,20,20,0,None
EMP0126,2025-04,20,20,0,None
EMP0127,2025-04,20,19,1,Unpaid
EMP0130,2025-04,20,18,2,Earned
EMP0131,2025-04,20,16,4,Casual
EMP0132,2025-04,20,19,1,None
EMP0133,2025-04,20,18,2,Unpaid
EMP0134,2025-04,20,19,1,Sick
EMP0135,2025-04,20,20,0,None
EMP0137,2025-04,20,19,1,Sick
EMP0138,2025-04,20,19,1,Earned
EMP0139,2025-04,20,20,0,None
EMP0140,2025-04,20,20,0,None
EMP0141,2025-04,20,18,2,Casual
EMP0142,2025-04,20,20,0,None
EMP0148,2025-04,20,17,3,Casual
EMP0150,2025-04,20,18,2,None
EMP0151,2025-04,20,17,3,Sick
EMP0152,2025-04,20,16,4,Casual
EMP0153,2025-04,20,19,1,None
EMP0154,2025-04,20,18,2,None
EMP0155,2025-04,20,16,4,Sick
EMP0156,2025-04,20,15,5,Casual
EMP0158,2025-04,20,17,3,Unpaid
EMP0159,2025-04,20,20,0,None
EMP0162,2025-04,20,19,1,Earned
EMP0165,2025-04,20,19,1,Unpaid
EMP0166,2025-04,20,19,1,Casual
EMP0167,2025-04,20,19,1,Sick
EMP0170,2025-04,20,20,0,None
EMP0171,2025-04,20,18,2,Sick
EMP0174,2025-04,20,20,0,None
EMP0175,2025-04,20,18,2,Casual
EMP0176,2025-04,20,18,2,Unpaid
EMP0177,2025-04,20,19,1,Earned
EMP0179,2025-04,20,19,1,Unpaid
EMP0181,2025-04,20,19,1,Sick
EMP0182,2025-04,20,18,2,Sick
EMP0183,2025-04,20,16,4,None
EMP0185,2025-04,20,20,0,None
EMP0189,2025-04,20,18,2,Sick
EMP0191,2025-04,20,20,0,None
EMP0192,2025-04,20,19,1,Casual
EMP0193,2025-04,20,18,2,Sick
EMP0194,2025-04,20,16,4,Unpaid
EMP0195,2025-04,20,19,1,Unpaid
EMP0196,2025-04,20,20,0,None
EMP0198,2025-04,20,19,1,None
EMP0200,2025-04,20,17,3,Sick
EMP0201,2025-04,20,19,1,Casual
EMP0202,2025-04,20,20,0,None
EMP0203,2025-04,20,19,1,Casual
EMP0206,2025-04,20,20,0,None
EMP0208,2025-04,20,17,3,Earned
EMP0209,2025-04,20,17,3,Earned
EMP0210,2025-04,20,20,0,None
EMP0211,2025-04,20,18,2,Sick
EMP0212,2025-04,20,19,1,Casual
EMP0213,2025-04,20,16,4,Earned
EMP0214,2025-04,20,17,3,Earned
EMP0215,2025-04,20,19,1,Unpaid
EMP0218,2025-04,20,18,2,Sick
EMP0220,2025-04,20,16,4,Sick
EMP0221,2025-04,20,17,3,Sick
EMP0222,2025-04,20,18,2,Earned
EMP0223,2025-04,20,19,1,Casual
EMP0224,2025-04,20,18,2,None
EMP0229,2025-04,20,20,0,None
EMP0231,2025-04,20,17,3,Earned
EMP0232,2025-04,20,18,2,Unpaid
EMP0234,2025-04,20,19,1,Casual
EMP0236,2025-04,20,19,1,Unpaid
EMP0238,2025-04,20,20,0,None
EMP0239,2025-04,20,16,4,Earned
EMP0242,2025-04,20,19,1,Casual
EMP0244,2025-04,20,20,0,None
EMP0245,2025-04,20,18,2,Earned
EMP0246,2025-04,20,20,0,None
EMP0248,2025-04,20,19,1,Sick
EMP0249,2025-04,20,19,1,Unpaid
EMP0250,2025-04,20,19,1,Earned
EMP0253,2025-04,20,20,0,None
EMP0255,2025-04,20,20,0,None
EMP0257,2025-04,20,20,0,None
EMP0258,2025-04,20,18,2,Casual
EMP0263,2025-04,20,17,3,Sick
EMP0265,2025-04,20,18,2,Casual
EMP0266,2025-04,20,18,2,Unpaid
EMP0267,2025-04,20,17,3,Sick
EMP0268,2025-04,20,19,1,Unpaid
EMP0269,2025-04,20,19,1,Unpaid
EMP0270,2025-04,20,18,2,Casual
EMP0272,2025-04,20,19,1,Unpaid
EMP0279,2025-04,20,17,3,Unpaid
EMP0280,2025-04,20,17,3,Earned
EMP0283,2025-04,20,18,2,Unpaid
EMP0284,2025-04,20,19,1,Casual
EMP0288,2025-04,20,18,2,Earned
EMP0290,2025-04,20,18,2,None
EMP0291,2025-04,20,15,5,Unpaid
EMP0293,2025-04,20,18,2,None
EMP0294,2025-04,20,18,2,None
EMP0295,2025-04,20,20,0,None
EMP0296,2025-04,20,16,4,Earned
EMP0297,2025-04,20,18,2,Earned
EMP0298,2025-04,20,19,1,Casual
EMP0299,2025-04,20,17,3,None
EMP0302,2025-04,20,16,4,Earned
EMP0303,2025-04,20,20,0,None
EMP0304,2025-04,20,15,5,Sick
EMP0306,2025-04,20,19,1,Sick
EMP0310,2025-04,20,18,2,Earned
EMP0311,2025-04,20,17,3,Casual
EMP0312,2025-04,20,17,3,Unpaid
EMP0314,2025-04,20,20,0,None
EMP0315,2025-04,20,16,4,Sick
EMP0318,2025-04,20,18,2,Unpaid
EMP0320,2025-04,20,18,2,Sick
EMP0323,2025-04,20,18,2,Sick
EMP0327,2025-04,20,19,1,Earned
EMP0330,2025-04,20,19,1,Sick
EMP0331,2025-04,20,17,3,Casual
EMP0332,2025-04,20,19,1,Earned
EMP0333,2025-04,20,17,3,Casual
EMP0337,2025-04,20,19,1,None
EMP0338,2025-04,20,19,1,Earned
EMP0339,2025-04,20,18,2,Unpaid
EMP0340,2025-04,20,19,1,None
EMP0343,2025-04,20,20,0,None
EMP0344,2025-04,20,18,2,Casual
EMP0347,2025-04,20,18,2,None
EMP0349,2025-04,20,18,2,Sick
EMP0351,2025-04,20,18,2,Unpaid
EMP0352,2025-04,20,20,0,None
EMP0354,2025-04,20,16,4,None
EMP0356,2025-04,20,18,2,Unpaid
EMP0357,2025-04,20,17,3,Unpaid
EMP0358,2025-04,20,20,0,None
EMP0359,2025-04,20,18,2,Sick
EMP0361,2025-04,20,19,1,Sick
EMP0362,2025-04,20,17,3,None
EMP0363,2025-04,20,19,1,None
EMP0364,2025-04,20,16,4,Earned
EMP0365,2025-04,20,19,1,None
EMP0367,2025-04,20,14,6,Earned
EMP0370,2025-04,20,20,0,None
EMP0371,2025-04,20,15,5,Unpaid
EMP0372,2025-04,20,16,4,Sick
EMP0377,2025-04,20,17,3,Sick
EMP0379,2025-04,20,20,0,None
EMP0381,2025-04,20,19,1,Casual
EMP0383,2025-04,20,20,0,None
EMP0386,2025-04,20,17,3,None
EMP0387,2025-04,20,19,1,None
EMP0388,2025-04,20,17,3,Casual
EMP0390,2025-04,20,18,2,None
EMP0391,2025-04,20,16,4,None
EMP0392,2025-04,20,18,2,Casual
EMP0394,2025-04,20,18,2,Casual
EMP0395,2025-04,20,18,2,Earned
EMP0396,2025-04,20,19,1,None
EMP0397,2025-04,20,18,2,Unpaid
EMP0398,2025-04,20,18,2,Unpaid
EMP0400,2025-04,20,18,2,None
EMP0401,2025-04,20,20,0,None
EMP0402,2025-04,20,18,2,Sick
EMP0403,2025-04,20,16,4,Unpaid
EMP0404,2025-04,20,18,2,Casual
EMP0405,2025-04,20,18,2,Casual
EMP0407,2025-04,20,20,0,None
EMP0408,2025-04,20,19,1,Casual
EMP0411,2025-04,20,19,1,Earned
EMP0412,2025-04,20,17,3,Earned
EMP0415,2025-04,20,18,2,Sick
EMP0416,2025-04,20,20,0,None
EMP0417,2025-04,20,20,0,None
EMP0418,2025-04,20,19,1,Unpaid
EMP0419,2025-04,20,17,3,Unpaid
EMP0002,2025-05,20,17,3,None
EMP0003,2025-05,20,19,1,Casual
EMP0006,2025-05,20,20,0,None
EMP0007,2025-05,20,18,2,Unpaid
EMP0010,2025-05,20,20,0,None
EMP0011,2025-05,20,18,2,None
EMP0013,2025-05,20,16,4,Unpaid
EMP0014,2025-05,20,20,0,None
EMP0015,2025-05,20,20,0,None
EMP0019,2025-05,20,19,1,Earned
EMP0020,2025-05,20,20,0,None
EMP0023,2025-05,20,19,1,Casual
EMP0024,2025-05,20,20,0,None
EMP0025,2025-05,20,17,3,None
EMP0026,2025-05,20,18,2,Earned
EMP0028,2025-05,20,19,1,Casual
EMP0029,2025-05,20,19,1,Sick
EMP0030,2025-05,20,18,2,None
EMP0031,2025-05,20,19,1,None
EMP0032,2025-05,20,18,2,Casual
EMP0035,2025-05,20,20,0,None
EMP0043,2025-05,20,18,2,Casual
EMP0044,2025-05,20,18,2,Casual
EMP0045,2025-05,20,18,2,Unpaid
EMP0046,2025-05,20,18,2,Unpaid
EMP0047,2025-05,20,20,0,None
EMP0048,2025-05,20,19,1,None
EMP0050,2025-05,20,19,1,Sick
EMP0052,2025-05,20,19,1,Sick
EMP0055,2025-05,20,19,1,Casual
EMP0056,2025-05,20,15,5,Earned
EMP0057,2025-05,20,18,2,Casual
EMP0062,2025-05,20,20,0,None
EMP0063,2025-05,20,19,1,None
EMP0064,2025-05,20,18,2,Casual
EMP0065,2025-05,20,20,0,None
EMP0066,2025-05,20,20,0,None
EMP0071,2025-05,20,19,1,Casual
EMP0074,2025-05,20,20,0,None
EMP0076,2025-05,20,20,0,None
EMP0077,2025-05,20,18,2,Sick
EMP0079,2025-05,20,18,2,None
EMP0081,2025-05,20,15,5,None
EMP0082,2025-05,20,16,4,Sick
EMP0083,2025-05,20,20,0,None
EMP0084,2025-05,20,19,1,Casual
EMP0085,2025-05,20,17,3,Unpaid
EMP0086,2025-05,20,17,3,Earned
EMP0087,2025-05,20,19,1,Casual
EMP0089,2025-05,20,18,2,Earned
EMP0092,2025-05,20,20,0,None
EMP0093,2025-05,20,19,1,Unpaid
EMP0094,2025-05,20,20,0,None
EMP0097,2025-05,20,20,0,None
EMP0098,2025-05,20,17,3,Casual
EMP0099,2025-05,20,17,3,Unpaid
EMP0100,2025-05,20,18,2,None
EMP0102,2025-05,20,18,2,Casual
EMP0104,2025-05,20,19,1,None
EMP0105,2025-05,20,17,3,Sick
EMP0106,2025-05,20,16,4,Casual
EMP0107,2025-05,20,19,1,Unpaid
EMP0109,2025-05,20,20,0,None
EMP0112,2025-05,20,16,4,None
EMP0115,2025-05,20,19,1,Casual
EMP0116,2025-05,20,19,1,None
EMP0117,2025-05,20,17,3,Casual
EMP0118,2025-05,20,18,2,Sick
EMP0120,2025-05,20,18,2,None
EMP0121,2025-05,20,17,3,Unpaid
EMP0122,2025-05,20,18,2,Sick
EMP0123,2025-05,20,18,2,Casual
EMP0124,2025-05,20,18,2,Casual
EMP0126,2025-05,20,19,1,Earned
EMP0127,2025-05,20,20,0,None
EMP0130,2025-05,20,20,0,None
EMP0131,2025-05,20,16,4,None
EMP0132,2025-05,20,20,0,None
EMP0133,2025-05,20,18,2,Casual
EMP0134,2025-05,20,18,2,Unpaid
EMP0135,2025-05,20,18,2,Unpaid
EMP0137,2025-05,20,20,0,None
EMP0138,2025-05,20,18,2,Unpaid
EMP0139,2025-05,20,19,1,Earned
EMP0140,2025-05,20,16,4,None
EMP0141,2025-05,20,20,0,None
EMP0142,2025-05,20,19,1,Casual
EMP0148,2025-05,20,18,2,None
EMP0150,2025-05,20,17,3,Casual
EMP0152,2025-05,20,17,3,Casual
EMP0153,2025-05,20,17,3,Casual
EMP0154,2025-05,20,18,2,Sick
EMP0155,2025-05,20,18,2,Casual
EMP0156,2025-05,20,17,3,Earned
EMP0158,2025-05,20,17,3,Earned
EMP0159,2025-05,20,20,0,None
EMP0162,2025-05,20,20,0,None
EMP0165,2025-05,20,17,3,Earned
EMP0166,2025-05,20,18,2,None
EMP0167,2025-05,20,18,2,Casual
EMP0170,2025-05,20,18,2,Casual
EMP0171,2025-05,20,16,4,None
EMP0174,2025-05,20,18,2,Unpaid
EMP0175,2025-05,20,18,2,Unpaid
EMP0176,2025-05,20,17,3,Earned
EMP0177,2025-05,20,20,0,None
EMP0179,2025-05,20,16,4,None
EMP0181,2025-05,20,19,1,None
EMP0182,2025-05,20,18,2,Casual
EMP0183,2025-05,20,19,1,None
EMP0185,2025-05,20,18,2,None
EMP0189,2025-05,20,19,1,None
EMP0191,2025-05,20,17,3,Unpaid
EMP0192,2025-05,20,20,0,None
EMP0193,2025-05,20,18,2,Sick
EMP0194,2025-05,20,16,4,Casual
EMP0195,2025-05,20,20,0,None
EMP0196,2025-05,20,18,2,Casual
EMP0198,2025-05,20,19,1,None
EMP0199,2025-05,20,18,2,Earned
EMP0200,2025-05,20,19,1,Unpaid
EMP0201,2025-05,20,19,1,Unpaid
EMP0202,2025-05,20,18,2,Sick
EMP0203,2025-05,20,18,2,Casual
EMP0206,2025-05,20,17,3,Unpaid
EMP0208,2025-05,20,20,0,None
EMP0209,2025-05,20,14,6,Unpaid
EMP0210,2025-05,20,18,2,Sick
EMP0211,2025-05,20,17,3,Sick
EMP0212,2025-05,20,19,1,Sick
EMP0214,2025-05,20,19,1,Sick
EMP0215,2025-05,20,18,2,Unpaid
EMP0218,2025-05,20,19,1,None
EMP0220,2025-05,20,20,0,None
EMP0221,2025-05,20,18,2,None
EMP0222,2025-05,20,17,3,None
EMP0223,2025-05,20,18,2,Sick
EMP0224,2025-05,20,20,0,None
EMP0228,2025-05,20,20,0,None
EMP0229,2025-05,20,19,1,None
EMP0231,2025-05,20,17,3,Unpaid
EMP0232,2025-05,20,20,0,None
EMP0234,2025-05,20,19,1,None
EMP0236,2025-05,20,17,3,Earned
EMP0238,2025-05,20,20,0,None
EMP0239,2025-05,20,16,4,Earned
EMP0242,2025-05,20,19,1,Casual
EMP0244,2025-05,20,19,1,None
EMP0245,2025-05,20,18,2,Sick
EMP0246,2025-05,20,19,1,Sick
EMP0248,2025-05,20,20,0,None
EMP0249,2025-05,20,20,0,None
EMP0250,2025-05,20,19,1,Sick
EMP0253,2025-05,20,19,1,Unpaid
EMP0255,2025-05,20,19,1,None
EMP0257,2025-05,20,20,0,None
EMP0258,2025-05,20,18,2,Unpaid
EMP0263,2025-05,20,18,2,Unpaid
EMP0265,2025-05,20,19,1,Earned
EMP0266,2025-05,20,20,0,None
EMP0267,2025-05,20,19,1,Unpaid
EMP0268,2025-05,20,20,0,None
EMP0269,2025-05,20,17,3,Sick
EMP0270,2025-05,20,19,1,Unpaid
EMP0272,2025-05,20,18,2,Unpaid
EMP0279,2025-05,20,17,3,Earned
EMP0280,2025-05,20,18,2,Earned
EMP0283,2025-05,20,17,3,Unpaid
EMP0284,2025-05,20,18,2,None
EMP0288,2025-05,20,20,0,None
EMP0290,2025-05,20,16,4,Casual
EMP0291,2025-05,20,16,4,Earned
EMP0293,2025-05,20,19,1,Unpaid
EMP0294,2025-05,20,20,0,None
EMP0295,2025-05,20,17,3,Unpaid
EMP0296,2025-05,20,18,2,None
EMP0297,2025-05,20,17,3,Earned
