employee_id,effective_month,base_salary,bonus,currency
EMP0050,2024-04,1494000,92000,INR
EMP0050,2025-04,1628000,200000,INR
EMP0050,2026-04,1799000,241000,INR
EMP0051,2021-08,432000,65000,INR
EMP0051,2022-04,468000,46000,INR
EMP0051,2023-04,517000,72000,INR
EMP0052,2021-05,777000,15000,INR
EMP0052,2022-04,924000,155000,INR
EMP0052,2023-04,1075000,222000,INR
EMP0052,2024-04,1257000,162000,INR
EMP0052,2025-04,1477000,133000,INR
EMP0052,2026-04,1730000,68000,INR
EMP0053,2021-08,2196000,143000,INR
EMP0053,2022-04,2352000,361000,INR
EMP0053,2023-04,2602000,339000,INR
EMP0053,2024-04,2874000,287000,INR
EMP0054,2019-11,861000,52000,INR
EMP0054,2020-04,950000,119000,INR
EMP0054,2021-04,1030000,55000,INR
EMP0054,2022-04,1100000,22000,INR
EMP0054,2023-04,1171000,102000,INR
EMP0054,2024-04,1270000,171000,INR
EMP0055,2022-11,2294000,27000,INR
EMP0055,2023-04,2539000,40000,INR
EMP0055,2024-04,2748000,321000,INR
EMP0055,2025-04,2960000,308000,INR
EMP0055,2026-04,3214000,408000,INR
EMP0056,2024-11,6319000,511000,INR
EMP0056,2025-04,6883000,535000,INR
EMP0056,2026-04,7503000,1069000,INR
EMP0057,2024-07,794000,30000,INR
EMP0057,2025-04,876000,13000,INR
EMP0057,2026-04,937000,91000,INR
EMP0058,2020-09,1196000,149000,INR
EMP0058,2021-04,1276000,37000,INR
EMP0058,2022-04,1390000,73000,INR
EMP0059,2021-11,1037000,180000,INR
EMP0059,2022-04,1104000,160000,INR
EMP0059,2023-04,1173000,151000,INR
EMP0060,2022-06,467000,20000,INR
EMP0060,2023-04,516000,65000,INR
EMP0061,2019-03,2902000,263000,INR
EMP0061,2019-04,3187000,309000,INR
EMP0061,2020-04,3447000,237000,INR
EMP0062,2020-09,2233000,102000,INR
EMP0062,2021-04,2475000,354000,INR
EMP0062,2022-04,2689000,90000,INR
EMP0062,2023-04,2969000,8000,INR
EMP0062,2024-04,3210000,541000,INR
EMP0062,2025-04,3557000,129000,INR
EMP0062,2026-04,3809000,481000,INR
EMP0063,2019-01,571000,82000,INR
EMP0063,2019-04,668000,60000,INR
EMP0063,2020-04,793000,155000,INR
EMP0063,2021-04,907000,146000,INR
EMP0063,2022-04,1068000,245000,INR
EMP0063,2023-04,1243000,30000,INR
EMP0063,2024-04,1461000,188000,INR
EMP0063,2025-04,1681000,271000,INR
EMP0063,2026-04,1917000,33000,INR
EMP0064,2023-12,1375000,130000,INR
EMP0064,2024-04,1460000,201000,INR
EMP0064,2025-04,1606000,268000,INR
EMP0064,2026-04,1723000,183000,INR
EMP0065,2019-04,837000,150000,INR
EMP0065,2020-04,893000,104000,INR
EMP0065,2021-04,959000,42000,INR
EMP0065,2022-04,1038000,97000,INR
EMP0065,2023-04,1106000,47000,INR
EMP0065,2024-04,1203000,25000,INR
EMP0065,2025-04,1302000,180000,INR
EMP0065,2026-04,1399000,8000,INR
EMP0066,2022-09,7155000,198000,INR
EMP0066,2023-04,7842000,367000,INR
EMP0066,2024-04,8334000,582000,INR
EMP0066,2025-04,9207000,1258000,INR
EMP0066,2026-04,9820000,1331000,INR
EMP0067,2019-04,2925000,670000,INR
EMP0067,2020-04,3474000,785000,INR
EMP0068,2019-01,6592000,326000,INR
EMP0068,2019-04,7173000,171000,INR
EMP0068,2020-04,7788000,899000,INR
EMP0068,2021-04,8376000,1394000,INR
EMP0069,2020-02,3510000,370000,INR
EMP0069,2020-04,3796000,662000,INR
EMP0070,2025-08,1385000,173000,INR
EMP0070,2026-04,1497000,142000,INR
EMP0071,2019-12,816000,172000,INR
EMP0071,2020-04,938000,146000,INR
EMP0071,2021-04,1102000,2000,INR
EMP0071,2022-04,1272000,122000,INR
EMP0071,2023-04,1494000,314000,INR
EMP0071,2024-04,1729000,423000,INR
EMP0071,2025-04,1993000,409000,INR
EMP0071,2026-04,2294000,198000,INR
EMP0072,2019-08,613000,79000,INR
EMP0072,2020-04,680000,120000,INR
EMP0072,2021-04,737000,78000,INR
EMP0073,2025-10,5078000,608000,INR
EMP0073,2026-04,6027000,454000,INR
EMP0074,2019-03,1394000,228000,INR
EMP0074,2019-04,1653000,146000,INR
EMP0074,2020-04,1921000,457000,INR
EMP0074,2021-04,2247000,179000,INR
EMP0074,2022-04,2649000,6000,INR
EMP0074,2023-04,3058000,681000,INR
EMP0074,2024-04,3490000,256000,INR
EMP0074,2025-04,4050000,836000,INR
EMP0075,2020-08,1355000,31000,INR
EMP0075,2021-04,1447000,111000,INR
EMP0076,2024-03,1826000,38000,INR
EMP0076,2024-04,2019000,289000,INR
EMP0076,2025-04,2195000,392000,INR
EMP0076,2026-04,2330000,129000,INR
EMP0077,2020-12,4921000,392000,INR
EMP0077,2021-04,5362000,670000,INR
EMP0077,2022-04,5742000,492000,INR
EMP0077,2023-04,6340000,47000,INR
EMP0077,2024-04,6735000,1053000,INR
EMP0077,2025-04,7438000,993000,INR
EMP0077,2026-04,7905000,391000,INR
EMP0078,2026-01,1666000,224000,INR
EMP0078,2026-04,1840000,126000,INR
EMP0079,2019-02,6668000,340000,INR
EMP0079,2019-04,7171000,210000,INR
EMP0079,2020-04,7828000,119000,INR
EMP0079,2021-04,8631000,605000,INR
EMP0079,2022-04,9393000,960000,INR
EMP0079,2023-04,10081000,435000,INR
EMP0079,2024-04,10800000,508000,INR
EMP0079,2025-04,11673000,925000,INR
EMP0080,2025-05,1431000,155000,INR
EMP0080,2026-04,1573000,102000,INR
EMP0081,2021-08,3950000,118000,INR
EMP0081,2022-04,4318000,754000,INR
EMP0081,2023-04,4656000,312000,INR
EMP0081,2024-04,5152000,645000,INR
EMP0081,2025-04,5681000,25000,INR
EMP0082,2020-08,1505000,302000,INR
EMP0082,2021-04,1726000,430000,INR
EMP0082,2022-04,1980000,427000,INR
EMP0082,2023-04,2319000,229000,INR
EMP0082,2024-04,2662000,221000,INR
EMP0082,2025-04,3099000,651000,INR
EMP0083,2022-03,4609000,446000,INR
EMP0083,2022-04,4969000,853000,INR
EMP0083,2023-04,5506000,557000,INR
EMP0083,2024-04,5951000,7000,INR
EMP0083,2025-04,6487000,187000,INR
EMP0083,2026-04,7197000,45000,INR
EMP0084,2022-12,5437000,19000,INR
EMP0084,2023-04,5898000,850000,INR
EMP0084,2024-04,6518000,158000,INR
EMP0084,2025-04,6912000,137000,INR
EMP0084,2026-04,7350000,433000,INR
EMP0085,2023-12,1530000,147000,INR
EMP0085,2024-04,1675000,40000,INR
EMP0085,2025-04,1834000,202000,INR
EMP0086,2021-07,2653000,231000,INR
EMP0086,2022-04,2827000,152000,INR
EMP0086,2023-04,3082000,251000,INR
EMP0086,2024-04,3349000,248000,INR
EMP0086,2025-04,3597000,329000,INR
EMP0087,2020-09,970000,76000,INR
EMP0087,2021-04,1031000,171000,INR
EMP0087,2022-04,1110000,16000,INR
EMP0087,2023-04,1221000,22000,INR
EMP0087,2024-04,1321000,185000,INR
EMP0087,2025-04,1443000,185000,INR
EMP0087,2026-04,1547000,106000,INR
EMP0088,2025-12,1039000,69000,INR
EMP0088,2026-04,1116000,4000,INR
EMP0089,2023-11,2135000,271000,INR
EMP0089,2024-04,2519000,505000,INR
EMP0089,2025-04,2954000,260000,INR
EMP0089,2026-04,3509000,689000,INR
EMP0090,2022-02,817000,122000,INR
EMP0090,2022-04,874000,111000,INR
EMP0090,2023-04,951000,100000,INR
EMP0090,2024-04,1014000,17000,INR
EMP0091,2021-10,1261000,169000,INR
EMP0091,2022-04,1340000,228000,INR
EMP0091,2023-04,1442000,207000,INR
EMP0091,2024-04,1538000,120000,INR
EMP0092,2025-01,953000,190000,INR
EMP0092,2025-04,1131000,171000,INR
EMP0092,2026-04,1302000,263000,INR
EMP0093,2024-12,3451000,486000,INR
EMP0093,2025-04,3747000,507000,INR
EMP0094,2021-02,721000,39000,INR
EMP0094,2021-04,844000,10000,INR
EMP0094,2022-04,986000,63000,INR
EMP0094,2023-04,1169000,48000,INR
EMP0094,2024-04,1380000,69000,INR
EMP0094,2025-04,1591000,288000,INR
EMP0094,2026-04,1826000,424000,INR
EMP0095,2020-04,4038000,456000,INR
EMP0095,2021-04,4420000,476000,INR
EMP0095,2022-04,4892000,683000,INR
EMP0096,2023-03,860000,117000,INR
EMP0096,2023-04,937000,161000,INR
EMP0096,2024-04,1027000,23000,INR
EMP0097,2023-06,3664000,220000,INR
EMP0097,2024-04,4318000,879000,INR
EMP0097,2025-04,4971000,1029000,INR
EMP0097,2026-04,5820000,81000,INR
EMP0098,2025-03,829000,176000,INR
EMP0098,2025-04,986000,228000,INR
EMP0098,2026-04,1134000,44000,INR
EMP0099,2021-01,911000,45000,INR
EMP0099,2021-04,1006000,34000,INR
EMP0099,2022-04,1086000,159000,INR
EMP0099,2023-04,1190000,65000,INR
EMP0099,2024-04,1281000,133000,INR
EMP0099,2025-04,1420000,124000,INR
EMP0099,2026-04,1559000,138000,INR
EMP0100,2020-02,790000,26000,INR
EMP0100,2020-04,848000,75000,INR
EMP0100,2021-04,904000,109000,INR
EMP0100,2022-04,1000000,92000,INR
EMP0100,2023-04,1069000,3000,INR
EMP0100,2024-04,1177000,206000,INR
EMP0100,2025-04,1256000,55000,INR
EMP0100,2026-04,1389000,123000,INR
EMP0101,2025-12,2284000,48000,INR
EMP0101,2026-04,2493000,362000,INR
EMP0102,2024-09,642000,49000,INR
EMP0102,2025-04,707000,122000,INR
EMP0102,2026-04,762000,66000,INR
EMP0103,2026-06,2040000,330000,INR
EMP0104,2021-01,2410000,216000,INR
EMP0104,2021-04,2654000,198000,INR
EMP0104,2022-04,2838000,218000,INR
EMP0104,2023-04,3115000,334000,INR
EMP0104,2024-04,3369000,336000,INR
EMP0104,2025-04,3636000,633000,INR
EMP0104,2026-04,3954000,368000,INR
EMP0105,2023-10,1011000,107000,INR
EMP0105,2024-04,1091000,133000,INR
EMP0105,2025-04,1159000,198000,INR
EMP0105,2026-04,1251000,110000,INR
EMP0106,2022-06,1127000,43000,INR
EMP0106,2023-04,1206000,102000,INR
EMP0106,2024-04,1310000,9000,INR
EMP0106,2025-04,1403000,183000,INR
EMP0106,2026-04,1499000,114000,INR
EMP0107,2023-05,953000,102000,INR
EMP0107,2024-04,1040000,107000,INR
EMP0107,2025-04,1117000,177000,INR
EMP0107,2026-04,1226000,83000,INR
EMP0108,2025-09,2896000,227000,INR
EMP0108,2026-04,3175000,541000,INR
EMP0109,2022-05,1246000,151000,INR
EMP0109,2023-04,1358000,57000,INR
EMP0109,2024-04,1477000,60000,INR
EMP0109,2025-04,1622000,113000,INR
EMP0110,2019-04,770000,74000,INR
EMP0110,2020-04,843000,32000,INR
EMP0110,2021-04,906000,99000,INR
EMP0110,2022-04,979000,44000,INR
EMP0111,2025-06,612000,76000,INR
EMP0111,2026-04,658000,57000,INR
EMP0112,2021-11,3901000,264000,INR
EMP0112,2022-04,4532000,460000,INR
EMP0112,2023-04,5362000,958000,INR
EMP0112,2024-04,6223000,98000,INR
EMP0112,2025-04,7149000,947000,INR
EMP0112,2026-04,8259000,1690000,INR
EMP0113,2026-02,725000,45000,INR
EMP0113,2026-04,852000,165000,INR
EMP0114,2021-05,5557000,353000,INR
EMP0115,2023-03,1606000,38000,INR
EMP0115,2023-04,1753000,48000,INR
EMP0115,2024-04,1885000,81000,INR
EMP0115,2025-04,2089000,95000,INR
EMP0115,2026-04,2272000,346000,INR
EMP0116,2019-10,1780000,5000,INR
EMP0116,2020-04,2105000,287000,INR
EMP0116,2021-04,2455000,557000,INR
EMP0116,2022-04,2834000,294000,INR
EMP0116,2023-04,3277000,764000,INR
EMP0116,2024-04,3814000,177000,INR
EMP0116,2025-04,4530000,960000,INR
EMP0117,2020-02,3111000,557000,INR
EMP0117,2020-04,3368000,4000,INR
EMP0117,2021-04,3613000,351000,INR
EMP0117,2022-04,3947000,84000,INR
EMP0117,2023-04,4188000,109000,INR
EMP0117,2024-04,4506000,515000,INR
EMP0117,2025-04,4831000,449000,INR
EMP0117,2026-04,5284000,142000,INR
EMP0118,2022-04,2297000,488000,INR
EMP0118,2023-04,2647000,505000,INR
EMP0118,2024-04,3031000,447000,INR
EMP0118,2025-04,3535000,715000,INR
EMP0118,2026-04,4088000,192000,INR
EMP0119,2023-07,622000,52000,INR
EMP0119,2024-04,683000,95000,INR
EMP0119,2025-04,756000,79000,INR
EMP0120,2021-07,558000,63000,INR
EMP0120,2022-04,657000,156000,INR
EMP0120,2023-04,760000,40000,INR
EMP0120,2024-04,867000,90000,INR
EMP0120,2025-04,990000,76000,INR
EMP0120,2026-04,1157000,207000,INR
EMP0121,2022-07,1392000,113000,INR
EMP0121,2023-04,1510000,203000,INR
EMP0121,2024-04,1631000,204000,INR
EMP0121,2025-04,1735000,44000,INR
EMP0121,2026-04,1898000,175000,INR
EMP0122,2023-02,1562000,73000,INR
EMP0122,2023-04,1683000,193000,INR
EMP0122,2024-04,1792000,192000,INR
EMP0122,2025-04,1952000,299000,INR
EMP0122,2026-04,2106000,230000,INR
EMP0123,2021-10,1155000,57000,INR
EMP0123,2022-04,1238000,72000,INR
EMP0123,2023-04,1332000,63000,INR
EMP0123,2024-04,1447000,179000,INR
EMP0123,2025-04,1537000,25000,INR
EMP0123,2026-04,1685000,178000,INR
EMP0124,2024-12,1400000,228000,INR
EMP0124,2025-04,1549000,231000,INR
EMP0124,2026-04,1666000,74000,INR
EMP0125,2026-05,795000,83000,INR
EMP0126,2021-03,1463000,88000,INR
EMP0126,2021-04,1599000,145000,INR
EMP0126,2022-04,1727000,68000,INR
EMP0126,2023-04,1891000,299000,INR
EMP0126,2024-04,2086000,229000,INR
EMP0126,2025-04,2287000,38000,INR
EMP0126,2026-04,2490000,288000,INR
EMP0127,2023-03,4427000,473000,INR
EMP0127,2023-04,4848000,54000,INR
EMP0127,2024-04,5329000,801000,INR
EMP0127,2025-04,5680000,627000,INR
EMP0128,2021-01,494000,51000,INR
EMP0128,2021-04,536000,74000,INR
EMP0128,2022-04,591000,13000,INR
EMP0128,2023-04,654000,91000,INR
EMP0129,2019-12,604000,21000,INR
EMP0129,2020-04,703000,8000,INR
EMP0129,2021-04,805000,78000,INR
EMP0129,2022-04,944000,208000,INR
EMP0129,2023-04,1091000,186000,INR
EMP0130,2021-03,3450000,280000,INR
EMP0130,2021-04,3769000,186000,INR
EMP0130,2022-04,4109000,212000,INR
EMP0130,2023-04,4445000,430000,INR
EMP0130,2024-04,4872000,584000,INR
EMP0130,2025-04,5272000,115000,INR
EMP0130,2026-04,5631000,424000,INR
EMP0131,2025-02,673000,119000,INR
EMP0131,2025-04,741000,3000,INR
EMP0131,2026-04,790000,33000,INR
EMP0132,2021-01,3005000,425000,INR
EMP0132,2021-04,3267000,572000,INR
EMP0132,2022-04,3575000,315000,INR
EMP0132,2023-04,3801000,235000,INR
EMP0132,2024-04,4113000,136000,INR
EMP0132,2025-04,4382000,135000,INR
EMP0132,2026-04,4654000,321000,INR
EMP0133,2023-03,3439000,224000,INR
EMP0133,2023-04,3771000,219000,INR
EMP0133,2024-04,4005000,235000,INR
EMP0133,2025-04,4415000,621000,INR
EMP0133,2026-04,4825000,209000,INR
EMP0134,2022-08,1347000,226000,INR
EMP0134,2023-04,1467000,174000,INR
EMP0134,2024-04,1569000,15000,INR
EMP0134,2025-04,1724000,208000,INR
EMP0134,2026-04,1866000,303000,INR
EMP0135,2023-07,3030000,366000,INR
EMP0135,2024-04,3274000,399000,INR
EMP0135,2025-04,3560000,326000,INR
EMP0136,2025-12,886000,99000,INR
EMP0136,2026-04,941000,97000,INR
EMP0137,2021-12,1430000,27000,INR
EMP0137,2022-04,1584000,174000,INR
EMP0137,2023-04,1725000,58000,INR
EMP0137,2024-04,1860000,177000,INR
EMP0137,2025-04,2060000,365000,INR
EMP0137,2026-04,2259000,403000,INR
EMP0138,2024-10,782000,82000,INR
EMP0138,2025-04,908000,218000,INR
EMP0138,2026-04,1075000,1000,INR
EMP0139,2024-03,2656000,269000,INR
EMP0139,2024-04,2945000,301000,INR
EMP0139,2025-04,3191000,137000,INR
EMP0139,2026-04,3433000,387000,INR
EMP0140,2025-02,601000,75000,INR
EMP0140,2025-04,665000,118000,INR
EMP0140,2026-04,736000,67000,INR
EMP0141,2021-06,1892000,293000,INR
EMP0141,2022-04,2039000,271000,INR
EMP0141,2023-04,2192000,189000,INR
EMP0141,2024-04,2419000,59000,INR
EMP0141,2025-04,2622000,241000,INR
EMP0141,2026-04,2859000,333000,INR
EMP0142,2021-01,2437000,142000,INR
EMP0142,2021-04,2631000,132000,INR
EMP0142,2022-04,2896000,423000,INR
EMP0142,2023-04,3182000,68000,INR
EMP0142,2024-04,3513000,167000,INR
EMP0142,2025-04,3800000,215000,INR
EMP0142,2026-04,4162000,701000,INR
EMP0143,2021-05,4107000,534000,INR
EMP0144,2019-04,868000,70000,INR
EMP0144,2020-04,957000,146000,INR
EMP0145,2020-02,1341000,42000,INR
EMP0145,2020-04,1433000,168000,INR
EMP0145,2021-04,1535000,255000,INR
EMP0145,2022-04,1635000,195000,INR
EMP0146,2025-05,5997000,811000,INR
EMP0146,2026-04,6542000,561000,INR
EMP0147,2020-08,1245000,113000,INR
EMP0147,2021-04,1370000,161000,INR
EMP0147,2022-04,1453000,166000,INR
EMP0147,2023-04,1591000,186000,INR
EMP0147,2024-04,1734000,231000,INR
EMP0148,2019-02,2229000,272000,INR
EMP0148,2019-04,2420000,39000,INR
EMP0148,2020-04,2585000,1000,INR
EMP0148,2021-04,2828000,191000,INR
EMP0148,2022-04,3086000,192000,INR
EMP0148,2023-04,3330000,163000,INR
EMP0148,2024-04,3576000,291000,INR
EMP0148,2025-04,3886000,489000,INR
EMP0148,2026-04,4138000,103000,INR
EMP0149,2026-02,3455000,405000,INR
EMP0149,2026-04,3740000,88000,INR
EMP0150,2022-11,1382000,219000,INR
EMP0150,2023-04,1495000,73000,INR
EMP0150,2024-04,1595000,227000,INR
EMP0150,2025-04,1734000,140000,INR
EMP0150,2026-04,1878000,247000,INR
EMP0151,2021-12,810000,19000,INR
EMP0151,2022-04,898000,7000,INR
EMP0151,2023-04,994000,89000,INR
EMP0151,2024-04,1075000,137000,INR
EMP0151,2025-04,1183000,12000,INR
EMP0152,2023-09,3526000,38000,INR
EMP0152,2024-04,3869000,165000,INR
EMP0152,2025-04,4229000,162000,INR
EMP0152,2026-04,4679000,521000,INR
EMP0153,2022-09,2134000,178000,INR
EMP0153,2023-04,2271000,137000,INR
EMP0153,2024-04,2476000,64000,INR
EMP0153,2025-04,2662000,243000,INR
EMP0153,2026-04,2867000,369000,INR
EMP0154,2022-08,1634000,187000,INR
EMP0154,2023-04,1897000,211000,INR
EMP0154,2024-04,2235000,339000,INR
EMP0154,2025-04,2555000,11000,INR
EMP0154,2026-04,2965000,699000,INR
EMP0155,2024-08,3940000,448000,INR
EMP0155,2025-04,4303000,726000,INR
EMP0155,2026-04,4585000,184000,INR
EMP0156,2024-04,1373000,226000,INR
EMP0156,2025-04,1460000,119000,INR
EMP0157,2020-11,765000,74000,INR
EMP0157,2021-04,838000,56000,INR
EMP0158,2022-11,3484000,347000,INR
EMP0158,2023-04,3728000,220000,INR
EMP0158,2024-04,3955000,683000,INR
EMP0158,2025-04,4320000,247000,INR
EMP0158,2026-04,4665000,191000,INR
EMP0159,2023-08,1339000,47000,INR
EMP0159,2024-04,1442000,257000,INR
EMP0159,2025-04,1593000,97000,INR
EMP0159,2026-04,1758000,313000,INR
EMP0160,2021-12,1235000,159000,INR
EMP0160,2022-04,1357000,176000,INR
EMP0160,2023-04,1484000,141000,INR
EMP0160,2024-04,1579000,179000,INR
EMP0161,2019-08,1429000,87000,INR
EMP0161,2020-04,1534000,118000,INR
EMP0161,2021-04,1675000,147000,INR
EMP0161,2022-04,1779000,94000,INR
EMP0161,2023-04,1901000,241000,INR
EMP0161,2024-04,2091000,193000,INR
EMP0162,2020-08,775000,32000,INR
EMP0162,2021-04,892000,199000,INR
